TransactionID,CustomerName,PhoneNumber,City,CardNumber,TransactionDate,Amount,Merchant,Category,IsFraud
72,Jacob Merchant,09332727956,Siwan,4549904530174260,2024-11-25 21:55:21,32310.49,Paytm Mall,Food & Dining,0
73,Nitesh Narang,7139718707,Anand,4391878519108839,2024-10-12 21:13:10,46793.14,Amazon India,Travel,0
74,Devansh Bhasin,+917046226567,Gandhinagar,4790874064039104,2024-08-16 00:23:56,28193.38,Flipkart,Electronics,0
75,Ladli Karpe,+917524310690,Tiruppur,4825128682300474,2024-11-21 00:43:36,25343.65,Big Bazaar,Food & Dining,0
76,Vivaan Nagar,9534283644,Proddatur,4190790306738301,2024-04-27 21:24:40,43975.59,Zomato,Entertainment,0
77,Wridesh Kar,02708668826,Rohtak,4687056856624626,2024-12-22 10:55:14,41703.87,Myntra,Recharge & Bills,0
78,Varenya Joshi,04033173936,Suryapet,4517518304699019,2024-05-16 13:03:43,40374.29,Tata Cliq,Groceries,0
79,Kamala Munshi,00932048996,Jamnagar,4467854458771753,2025-02-22 13:25:51,27774.65,Flipkart,Clothing,0
80,Vrinda Gour,0801006231,Bangalore,4536937854777255,2024-05-09 04:55:25,44496.66,Tata Cliq,Clothing,0
81,Bhavini Badal,6211823398,Raichur,4875099770088603,2024-03-10 23:09:07,30281.01,Zomato,Transport,0
82,Daksh Andra,2176591803,Tezpur,4615679334101664,2024-07-28 22:43:41,42660.35,Tata Cliq,Travel,0
83,Chandani Gaba,3968562185,Navi Mumbai,4401489025039266,2025-02-28 04:59:42,45417.14,Amazon India,Electronics,0
84,Rachana Grewal,9619431142,Jamnagar,4315999650477354,2024-10-05 05:56:17,41484.47,Amazon India,Groceries,0
85,Harshil Bal,+915819956046,Guwahati,4551104754121262,2024-08-25 18:46:45,6627.9,Myntra,Clothing,0
86,Chandani Sule,+915437993712,Chennai,4982622444721265,2024-06-19 15:24:14,27628.85,Swiggy,Utilities,1
87,Mitali Nagar,07935646519,Guntakal,4596575692459376,2024-07-04 11:39:12,3854.67,Big Bazaar,Utilities,1
88,Krishna Borah,09796886805,Moradabad,4807374167243423,2024-12-07 05:44:21,18523.88,Tata Cliq,Clothing,0
89,Sanaya Prasad,07982507146,Bhiwandi,4529096561014384,2024-12-19 12:25:40,2187.26,Zomato,Groceries,0
90,Ishwar Bajaj,01238282586,Ahmednagar,4545738757177513,2024-06-29 01:55:01,10582.82,Reliance Digital,Electronics,0
91,Harsh Yadav,+915537147859,Phagwara,4226609379660333,2024-06-20 13:36:53,28038.19,Swiggy,Recharge & Bills,0
92,Jackson Goswami,02866929662,Siwan,4915579249912519,2024-06-05 02:54:43,46295.61,Reliance Digital,Clothing,0
93,Yashasvi Talwar,07677219034,Panipat,4827422579050724,2024-05-19 05:58:56,40557.51,Swiggy,Groceries,0
94,Ridhi Kamdar,01340745171,Bhagalpur,4842797881914852,2024-09-30 23:27:48,46231.92,Swiggy,Transport,0
95,Brinda Mann,4812604223,Pondicherry,4962923309584986,2024-05-08 20:38:37,39389.99,Flipkart,Health & Wellness,0
96,Falak Agate,1751863637,North Dumdum,4672946671168451,2024-08-28 01:19:25,42943.8,Reliance Digital,Transport,0
97,Aadi Sangha,+912424154152,Tenali,4589297500170124,2024-08-22 20:20:10,23069.13,Myntra,Transport,0
98,Jai Sami,2713611155,Durgapur,4361103712938700,2024-03-07 14:24:05,33035.66,Swiggy,Food & Dining,0
99,Teerth Chadha,+912196565234,Kulti,4221890927532696,2024-11-26 02:30:48,3564.1,Myntra,Food & Dining,0
100,Ekavir Wable,+915526965827,Pune,4043898364037612,2024-06-06 02:17:52,20043.95,Tata Cliq,Food & Dining,0
101,Arunima Chacko,01832856914,Mathura,4043006848666184,2024-09-29 06:33:51,5855.55,Myntra,Clothing,0
102,Idika Virk,4252410564,Firozabad,4316179904210203,2024-05-07 02:17:01,49179.17,Amazon India,Electronics,0
103,Chaitanya Arora,+910756220863,Kulti,4778507925241917,2024-06-01 04:08:11,17349.79,Zomato,Health & Wellness,0
104,Barkha Mukhopadhyay,01870534949,Madhyamgram,4541951802380610,2025-02-08 01:24:13,25620.01,Swiggy,Recharge & Bills,0
105,Damyanti Chawla,+918367024103,Serampore,4973832060385052,2024-03-05 00:52:48,2314.89,Swiggy,Groceries,0
106,Maya Narain,07431329121,Hospet,4191826199062349,2024-06-13 19:51:53,40344.89,Reliance Digital,Food & Dining,0
107,Tanveer Narang,+911356804420,Bidhannagar,4561853747411242,2025-01-19 09:44:06,47448.84,Zomato,Recharge & Bills,0
108,Falan Bains,+913721510702,Tenali,4171210032365199,2024-10-18 02:16:32,42415.96,Myntra,Utilities,0
109,Chakrika Tara,08701462638,Tinsukia,4066253244720999,2024-10-30 01:53:49,20478.81,Swiggy,Entertainment,0
110,Ayushman Mand,+917859321334,Muzaffarnagar,4657875985642050,2024-10-22 08:46:51,9672.82,Swiggy,Clothing,0
111,Dayamai Gill,00103930870,Srikakulam,4522395590599291,2024-05-16 13:43:04,15117.4,Tata Cliq,Groceries,0
112,Harrison Nayar,05226752895,Giridih,4252500292185150,2024-12-03 02:01:23,10588.12,Snapdeal,Recharge & Bills,0
113,Watika Dhaliwal,01355215704,Kulti,4644220969029592,2024-05-29 06:08:45,23302.91,Paytm Mall,Transport,0
114,Varenya Kar,+917104054115,Gandhinagar,4541006762676588,2024-07-28 05:44:45,39707.4,Big Bazaar,Electronics,0
115,Samesh Gupta,08844431069,Jamnagar,4181599706296203,2024-04-12 19:02:39,33226.31,Snapdeal,Food & Dining,0
116,Darika Rao,07418625652,Varanasi,4506149731032419,2024-09-04 09:15:05,47604.78,Reliance Digital,Entertainment,0
117,Lila Virk,08793741608,Jamshedpur,4774349021158693,2024-05-31 19:49:32,10036.58,Amazon India,Groceries,0
118,Gagan Rama,6854870998,Gorakhpur,4223320616329459,2025-02-21 04:33:58,23809.3,Flipkart,Travel,0
119,Urvashi Barad,+914629960653,Fatehpur,4229991191485645,2024-07-31 05:28:37,31525.29,Reliance Digital,Health & Wellness,0
120,Gaurav Guha,03678508214,Bhavnagar,4505444713247544,2024-12-12 12:09:21,12274.82,Amazon India,Electronics,0
121,Azaan Khurana,07972798552,Mysore,4233030705345781,2024-08-05 15:01:23,11020.17,Tata Cliq,Travel,0
122,Oscar Anand,+914944665743,Barasat,4060293333468007,2024-09-04 14:09:33,12534.99,Flipkart,Travel,0
123,Aradhana Lal,4328309652,Mehsana,4910858994417154,2024-06-19 20:15:49,23285.7,Tata Cliq,Utilities,0
124,Pratyush Memon,+917248251353,Bidar,4466609935387586,2024-06-29 01:16:17,47506.98,Paytm Mall,Recharge & Bills,0
125,Lakshmi Wagle,06022356972,Bokaro,4549471709991734,2024-09-14 20:02:25,44611.81,Swiggy,Utilities,0
126,Pushti Raval,07600835058,Surat,4752500743292717,2024-04-23 17:24:14,8041.98,Paytm Mall,Travel,0
127,Zinal Viswanathan,06257532603,Mira-Bhayandar,4335421689421044,2024-06-25 09:57:52,12437.26,Myntra,Utilities,0
128,Anmol Bava,1676184723,Barasat,4098215064890907,2024-11-16 13:15:35,12038.37,Paytm Mall,Electronics,0
129,Ryan Lall,3564208737,Noida,4184992618914111,2024-09-13 18:31:02,11801.23,Zomato,Food & Dining,0
130,Chandresh Chaudhry,+910455611002,Ozhukarai,4011972181143743,2024-06-15 01:04:36,4120.83,Big Bazaar,Transport,0
131,Ojas Chowdhury,+910216979729,Secunderabad,4794155216674675,2025-01-09 02:51:10,7724.98,Reliance Digital,Electronics,0
132,Zilmil Virk,9163756289,Hyderabad,4277167014508993,2024-05-30 10:56:37,16610.98,Paytm Mall,Health & Wellness,0
133,Neha Keer,+917797177517,Kota,4877217535408381,2024-11-09 07:24:18,41661.27,Swiggy,Recharge & Bills,0
134,Udant Sha,08997571130,Raichur,4608801994883758,2024-07-23 13:51:01,1074.64,Snapdeal,Health & Wellness,0
135,Tanveer Shankar,+915160917798,Panchkula,4885102726149335,2024-04-20 08:41:07,47142.81,Myntra,Health & Wellness,0
136,Yamini Rajagopalan,09346547226,Motihari,4808697829221695,2024-10-25 21:04:51,47676.17,Swiggy,Utilities,0
137,Omisha Walla,06081062003,Nanded,4833394522885153,2024-10-08 20:05:04,27352.0,Snapdeal,Transport,0
138,Yasti Mani,0666580043,Kamarhati,4420438057198380,2024-08-02 11:56:22,13719.47,Paytm Mall,Groceries,0
139,Arya Lalla,+912940572025,Tadepalligudem,4989334721228161,2024-03-20 05:59:29,33476.79,Swiggy,Clothing,0
140,George Palla,+913555439878,Raipur,4798515832818269,2024-10-01 09:07:37,45985.13,Snapdeal,Utilities,1
141,Yoshita Trivedi,07043581128,Amritsar,4739930561648401,2025-02-21 09:31:10,19761.61,Snapdeal,Groceries,0
142,Zayan Bobal,3466766506,Deoghar,4361386120750110,2024-03-25 13:04:05,21487.78,Paytm Mall,Clothing,0
143,Azaan Som,+918326842450,Amravati,4919015814491478,2024-07-30 14:17:06,19017.28,Reliance Digital,Travel,0
144,Timothy Krishnan,+911290878141,Navi Mumbai,4099688143536825,2024-05-05 23:27:23,38085.36,Swiggy,Entertainment,0
145,Michael Patla,06205336452,Nangloi Jat,4975523149135778,2024-07-09 23:39:37,41613.02,Myntra,Electronics,0
146,Faqid Bahl,0996930848,Jalgaon,4754781291428345,2024-12-14 08:23:03,37476.31,Amazon India,Food & Dining,0
147,Yoshita Dey,02299275037,Rajkot,4639427881658039,2025-01-27 19:00:59,3524.06,Amazon India,Groceries,0
148,Adya Ghosh,06591846386,Hapur,4530385677005189,2024-11-05 12:31:31,10048.1,Amazon India,Recharge & Bills,0
149,Jagat Karpe,05177739260,Varanasi,4790827231843220,2024-05-04 13:55:47,6398.43,Flipkart,Recharge & Bills,0
150,Bhanumati Chada,+917977236929,Sasaram,4992280920242864,2024-10-23 05:40:12,23305.2,Myntra,Food & Dining,0
151,Mason Char,+917990881172,Chinsurah,4257991366210385,2025-02-01 07:13:41,30401.65,Flipkart,Clothing,0
152,Fiyaz Mander,8643009818,Gandhinagar,4508637659916249,2024-09-05 18:31:54,5494.13,Amazon India,Entertainment,0
153,Samar Sachdev,8725887449,Sikar,4565126944869595,2024-06-19 11:39:48,45410.5,Swiggy,Health & Wellness,0
154,Gavin Dhillon,09611435190,Rewa,4137213865890260,2024-11-06 10:03:09,9996.66,Snapdeal,Transport,0
155,Omkaar Banik,03021465669,Kadapa,4902770384309885,2024-11-30 17:16:35,38646.8,Snapdeal,Electronics,0
156,Advika Gill,08181845184,Mango,4118489554393765,2024-10-13 17:46:19,28340.03,Amazon India,Food & Dining,0
157,Diya Sachar,08804341651,Fatehpur,4973577907141636,2024-11-22 08:32:21,33109.91,Flipkart,Utilities,0
158,Ishani Dugal,+911179080759,Kumbakonam,4539423733343335,2025-01-22 17:27:44,731.34,Swiggy,Travel,0
159,Meera Ghosh,01875003691,Mirzapur,4728463920867804,2024-09-15 14:39:41,48043.3,Paytm Mall,Clothing,0
160,Janya Rattan,07292931438,Eluru,4284347955276369,2024-12-01 14:22:05,36716.39,Myntra,Recharge & Bills,0
161,Mitali Chaudhary,2034717545,Karaikudi,4227026728857446,2024-10-08 18:45:47,26954.83,Paytm Mall,Travel,0
162,Sanya Brar,09472256996,Vijayawada,4506159399824551,2024-11-20 21:51:54,36578.21,Myntra,Food & Dining,0
163,Qarin Bajaj,+913413261117,Indore,4535544964759875,2024-08-12 05:54:38,41553.48,Flipkart,Entertainment,0
164,Ayush Banerjee,5577848728,Gudivada,4811492164334724,2024-04-24 10:50:39,12268.79,Paytm Mall,Recharge & Bills,0
165,Chavvi Anne,+918254780774,Chinsurah,4968845783174568,2024-06-13 08:49:48,19011.57,Amazon India,Travel,0
166,Fariq Sami,3894484631,Bhavnagar,4930853686632661,2024-05-29 03:19:24,9173.81,Reliance Digital,Food & Dining,0
167,Baghyawati Luthra,+917031207356,Panchkula,4179749735020801,2024-05-15 16:19:01,17082.91,Snapdeal,Entertainment,0
168,Advik Dara,3673037183,Pali,4705120461872349,2025-01-15 20:34:54,25879.7,Reliance Digital,Electronics,0
169,Ekta Aurora,+914916300979,Serampore,4520881474350317,2024-06-04 02:36:50,20380.76,Tata Cliq,Transport,0
170,Idika Sarna,3065240778,Hosur,4327195005281270,2024-06-02 19:56:16,32330.55,Paytm Mall,Travel,0
171,Adya Peri,00862095935,Siwan,4392855749821828,2024-08-25 23:49:02,4743.36,Reliance Digital,Health & Wellness,0
172,Pranav Balay,+911731096789,Dhanbad,4387829456511812,2024-03-21 11:17:12,15379.68,Snapdeal,Food & Dining,0
173,Banjeet Bobal,01381138633,Jehanabad,4391037170586508,2025-01-18 08:09:42,26593.0,Swiggy,Utilities,0
174,Saanvi Pandey,08556659398,Gandhinagar,4886195761228682,2024-07-13 13:06:03,35172.46,Myntra,Entertainment,0
175,Divya Bains,4888992107,Bhatpara,4577600490824044,2024-05-29 15:23:13,6120.73,Reliance Digital,Food & Dining,0
176,Oscar Sura,9194096105,Raebareli,4459334419693156,2025-01-06 09:39:20,26839.61,Big Bazaar,Transport,0
177,Michael Bedi,6799813646,Mira-Bhayandar,4139060480589258,2024-09-15 13:58:31,24261.51,Snapdeal,Utilities,0
178,Vinaya Rana,9389833146,Ramgarh,4179086416862270,2024-10-07 16:16:16,49027.48,Reliance Digital,Entertainment,0
179,Madhav Sastry,+913352110392,Kanpur,4166553559042593,2025-01-17 12:58:17,9054.13,Amazon India,Utilities,0
180,Andrew Puri,8042043940,Bangalore,4147705383388485,2024-09-08 01:23:05,2371.23,Amazon India,Utilities,0
181,Quincy Issac,7800384576,Surat,4645104636815790,2024-09-26 21:45:26,47210.07,Paytm Mall,Electronics,0
182,Laksh Chahal,6893639264,Sultan Pur Majra,4554384046084323,2024-07-15 04:55:51,28745.8,Paytm Mall,Travel,0
183,Qarin Nadkarni,+910566474231,Udaipur,4329832482629252,2024-03-30 19:19:32,9299.75,Amazon India,Entertainment,0
184,Kashvi Gour,07722330604,Korba,4994999393305175,2024-04-25 13:01:51,23938.69,Flipkart,Health & Wellness,0
185,Meera Yadav,0817703886,Proddatur,4312797573660962,2024-12-09 04:00:43,28893.36,Amazon India,Clothing,0
186,Ubika Seth,+918129826657,Mangalore,4803476447264907,2024-11-27 10:04:50,28185.7,Myntra,Electronics,0
187,Yasti Dutta,08602592222,Gurgaon,4937145211175180,2024-12-04 03:34:20,6010.73,Swiggy,Recharge & Bills,0
188,Wakeeta Khanna,+919776719903,Udupi,4474212309407773,2024-10-01 13:03:03,30959.08,Tata Cliq,Health & Wellness,0
189,Pranav Edwin,4999827950,Dewas,4022050209945105,2024-04-15 18:09:34,22191.78,Snapdeal,Health & Wellness,0
190,Shaurya Bhardwaj,+919817946954,Bikaner,4561681472145861,2024-09-24 05:18:36,31089.26,Snapdeal,Electronics,0
191,Odika Bath,05830344144,Chennai,4877293430107139,2025-01-08 23:43:58,10468.62,Reliance Digital,Entertainment,0
192,Triveni Yadav,07608495880,Gangtok,4556990235577022,2024-09-07 11:06:59,7937.15,Big Bazaar,Utilities,0
193,Divya Balay,06173574384,Gorakhpur,4512405682996297,2024-04-18 20:19:26,233.52,Paytm Mall,Recharge & Bills,0
194,Luke Chaudhari,2307681040,Thoothukudi,4031780782357844,2024-12-30 15:44:47,1728.73,Myntra,Entertainment,0
195,Jacob Mahajan,+912410988138,Jamalpur,4018409435334482,2024-07-06 09:56:40,22756.16,Reliance Digital,Entertainment,0
196,Chandresh Cherian,00166299795,Thoothukudi,4424932149587028,2024-03-15 17:29:04,31290.39,Reliance Digital,Health & Wellness,0
197,Januja Ramanathan,+915577017157,Tirunelveli,4817921717477337,2024-04-29 06:50:10,11317.99,Big Bazaar,Entertainment,0
198,William Kohli,2761539669,Tinsukia,4599281615814873,2024-08-07 03:08:00,3663.35,Big Bazaar,Entertainment,0
199,Ikbal Raghavan,07013290227,Pali,4219719975817242,2024-08-09 01:31:28,41229.59,Myntra,Travel,0
200,Chaitaly Bhatia,08008514036,Ratlam,4335494651909866,2025-01-27 15:48:00,34465.03,Swiggy,Entertainment,0
201,Krish Apte,+910276212679,Bokaro,4666832723865625,2024-06-24 11:59:47,24740.38,Flipkart,Recharge & Bills,1
202,Nirja Peri,+910975197128,Kirari Suleman Nagar,4868765326909737,2024-12-06 00:47:08,21658.23,Zomato,Recharge & Bills,0
203,Yauvani Singh,5654420949,Ghaziabad,4891371894905800,2024-09-02 13:25:37,4657.21,Snapdeal,Recharge & Bills,0
204,Avni Maharaj,00192927524,Shivpuri,4929049047128142,2024-06-10 08:32:18,49978.66,Myntra,Recharge & Bills,1
205,Chatura Lalla,+910276747836,Bhalswa Jahangir Pur,4805129276637234,2024-10-14 20:20:32,37837.81,Paytm Mall,Utilities,0
206,Gautami Madan,01496739385,Satara,4286047658018567,2024-10-27 13:23:27,45812.03,Big Bazaar,Recharge & Bills,0
207,Dakshesh Kalla,1119269212,Durg,4010618175344307,2024-03-13 16:09:26,40730.82,Flipkart,Travel,0
208,Pranav Sastry,+917396271286,Srikakulam,4174654214066504,2024-06-12 18:12:40,16732.09,Flipkart,Clothing,0
209,Amaira Doshi,5690877661,Delhi,4741011947072008,2024-11-17 13:49:42,34714.32,Myntra,Health & Wellness,0
210,Bimala Jain,+918063461571,Jhansi,4719855460158513,2025-01-25 03:38:01,27549.82,Paytm Mall,Electronics,0
211,Daksh Nazareth,0613878293,Vadodara,4030937618478704,2024-03-18 20:30:57,16231.36,Swiggy,Utilities,0
212,Hitesh Comar,09931365651,Pondicherry,4707903202041797,2024-05-09 18:11:36,157.44,Tata Cliq,Travel,0
213,Kiaan Chaudhry,9620710021,Erode,4092511426258270,2024-06-07 02:11:07,9460.37,Zomato,Recharge & Bills,0
214,Charvi Pall,00833181958,Madhyamgram,4232487632909272,2024-10-28 03:58:14,31307.9,Amazon India,Transport,0
215,Gaurika Setty,+911082207811,Raiganj,4403127722005432,2024-08-20 06:41:11,6637.56,Myntra,Travel,0
216,Chatura Sarin,+913972652735,Panihati,4635315313636315,2024-09-03 09:12:01,24287.12,Amazon India,Recharge & Bills,0
217,Onkar Karpe,+916873977406,Shahjahanpur,4209042177625343,2024-10-24 21:32:53,35518.16,Myntra,Utilities,1
218,Varenya Chaudhari,07318063254,Mysore,4693929060078064,2024-09-26 17:39:58,20458.74,Reliance Digital,Electronics,0
219,Ekavir Rajan,5804649893,Udupi,4742799077262576,2024-12-02 20:05:44,5961.56,Big Bazaar,Travel,0
220,Samarth Devi,03817933554,Bally,4085016579055282,2024-12-03 05:09:06,14663.89,Myntra,Health & Wellness,0
221,Raghav Shankar,+911624112412,Saharanpur,4155778817884790,2024-07-25 10:37:15,49014.21,Reliance Digital,Travel,0
222,Zinal Nayak,09557988774,Farrukhabad,4804682756704313,2024-03-13 00:38:57,19240.94,Snapdeal,Utilities,0
223,Parth Dube,+913105927452,Kishanganj,4437540254729288,2024-06-23 05:56:38,6911.77,Flipkart,Entertainment,0
